id,name,occupancy_type,effective_id,is_active
1,Single-Family Detached,SmallResidential,4,1
2,Single-Family Attached,SmallResidential,2,1
3,Multifamily,BigResidential,21,1
4,Single-Family,SmallResidential,4,1
5,Multifamily (2 to 4 units),BigResidential,21,1
6,Multifamily (5 or more units),BigResidential,21,1
7,Vacant,Vacant,7,1
8,Office,Business,8,1
9,Laboratory,Industrial,17,1
10,Nonrefrigerated warehouse,Storage,10,1
11,Food sales,FoodMercantile,11,1
12,Public order and safety,Institutional,12,1
13,Outpatient health care,Health Care,13,1
14,Refrigerated warehouse,Storage,14,1
15,Religious worship,Assembly,15,1
16,Public assembly,Assembly,16,1
17,Education,Educational,17,1
18,Food service,FoodMercantile,18,1
19,Inpatient health care,Health Care,19,1
20,Nursing,Health Care,20,1
21,Lodging,BigResidential,21,1
22,Strip shopping mall,Mercantile,22,1
23,Enclosed mall,Mercantile,23,1
24,Retail other than mall,Mercantile,24,1
25,Service,Business,25,1
26,Mixed use,Mixed,8,1
27,Uncovered Parking,Parking,27,1
28,Covered Parking,Parking,28,1
29,null,Unknown,4,1
